batch_id,batch_status,file_id,filename,size_bytes,size_mib,content_type,file_downloads,file_created_at,page_count,page_ids,page_titles,categories,category_parents,creator_names,original_download_state,original_finished_at,original_failed_at,original_error,recorded_path,recorded_rel_path,note
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955ece93657d3dba13bbe5,Chapter 2 计算机程序设计与算法基础.pptx,1150823,1.098,binary/octet-stream,2,2026-02-18T06:40:14.622Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:37+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 2 计算机程序设计与算法基础.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 2 计算机程序设计与算法基础.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955ef793657d3dba13bbe6,Chapter 3 分支结构.pptx,497422,0.474,binary/octet-stream,1,2026-02-18T06:40:55.479Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:37+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 3 分支结构.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 3 分支结构.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955ef893657d3dba13bbe7,Chapter 4 循环.pptx,636015,0.607,binary/octet-stream,0,2026-02-18T06:40:56.374Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:38+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 4 循环.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 4 循环.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955ef993657d3dba13bbe8,Chapter 4.5 输入输出.pptx,2840075,2.709,binary/octet-stream,0,2026-02-18T06:40:57.532Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:38+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 4.5 输入输出.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 4.5 输入输出.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955efa93657d3dba13bbe9,Chapter 5 数组与指针.pptx,877379,0.837,binary/octet-stream,0,2026-02-18T06:40:58.479Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:39+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 5 数组与指针.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 5 数组与指针.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955efe93657d3dba13bbea,Chapter 6 函数.pptx,17892386,17.064,binary/octet-stream,0,2026-02-18T06:41:02.696Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:41+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 6 函数.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter 6 函数.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955eff93657d3dba13bbeb,Chapter7结构.ppt,430080,0.41,binary/octet-stream,0,2026-02-18T06:41:03.654Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:42+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter7结构.ppt,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Chapter7结构.ppt,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955f0093657d3dba13bbec,Lambda表达式.pptx,190533,0.182,binary/octet-stream,0,2026-02-18T06:41:04.477Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:42+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Lambda表达式.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\Lambda表达式.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955f0193657d3dba13bbed,讲课次序1_C  程序设计精要教程-第1章_引论.pptx,1580838,1.508,binary/octet-stream,0,2026-02-18T06:41:05.507Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:42+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\讲课次序1_C 程序设计精要教程-第1章_引论.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\讲课次序1_C 程序设计精要教程-第1章_引论.pptx,用户确认资料已归档，本批次按已下载完成处理。
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69955f0293657d3dba13bbee,讲课次序2_C  程序设计精要教程-第2章_类型常量变量引用.pptx,1782894,1.7,binary/octet-stream,0,2026-02-18T06:41:06.573Z,1,69955f5893657d3dba13bbfa,计科C++课件,C++程序设计,课程,冰岩作坊,done,2026-07-01T19:41:44+0800,,,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\讲课次序2_C 程序设计精要教程-第2章_类型常量变量引用.pptx,data\public\textbook_and_material\TBD\1037wiki_bulk\课程\C++程序设计\计科C++课件\讲课次序2_C 程序设计精要教程-第2章_类型常量变量引用.pptx,用户确认资料已归档，本批次按已下载完成处理。
